station area Latitude Longitude city
捷運國父紀念館站(2號出口) 大安區 25.04122 121.55745 台北市
仁愛醫院 大安區 25.03756 121.54587 台北市
捷運信義安和站(4號出口) 大安區 25.03305 121.55378 台北市
成功國宅 大安區 25.02681 121.54668 台北市
仁愛延吉街口 大安區 25.03748 121.55564 台北市
捷運信義安和站(1號出口) 大安區 25.03331 121.55265 台北市
敦化南路二段103巷口 大安區 25.0287 121.54904 台北市
復興南路二段128巷口 大安區 25.02861 121.54336 台北市
和平東建國南路口 大安區 25.02575 121.5377 台北市
芳蘭山莊 大安區 25.01223 121.54788 台北市
復興南路一段126巷口 大安區 25.04311 121.54313 台北市
捷運東門站(5號出口) 大安區 25.03363 121.52962 台北市
仁愛路四段48巷口 大安區 25.03609 121.54709 台北市
捷運公館站(3號出口) 大安區 25.01551 121.53374 台北市
臺北科技大學(電機工程系) 大安區 25.04196 121.53653 台北市
忠孝東路三段217巷口 大安區 25.04176 121.54027 台北市
新生南路三段94巷口 大安區 25.01744 121.53334 台北市
辛亥新生路口西北側 大安區 25.02267 121.5341 台北市
捷運大安站(6號出口) 大安區 25.03479 121.54376 台北市
臥龍街195巷口 大安區 25.01783 121.55224 台北市
辛亥路三段157巷口 大安區 25.01727 121.54904 台北市
臥龍基隆路口 大安區 25.02039 121.54853 台北市
敦親公園 大安區 25.02347 121.54108 台北市
大安運動中心 大安區 25.02054 121.54561 台北市
和平敦化路口 大安區 25.02444 121.54908 台北市
基隆長興路口 大安區 25.01705 121.54435 台北市
仁愛路四段122巷口 大安區 25.03762 121.55009 台北市
市民敦化路口 大安區 25.04464 121.54944 台北市
忠孝東路四段49巷口 大安區 25.04172 121.54541 台北市
市民復興路口(東南側) 大安區 25.04472 121.54401 台北市
和平新生路口西南側 大安區 25.02598 121.53454 台北市
全安公園 大安區 25.02535 121.55101 台北市
信義路三段134巷口 大安區 25.03333 121.53968 台北市
仁愛敦南圓環(東南側) 大安區 25.03715 121.54936 台北市
臺北遠企購物中心 大安區 25.02709 121.54902 台北市
外交部外交及國際事務學院 大安區 25.0371 121.54839 台北市
四維路170巷口 大安區 25.02821 121.54864 台北市
捷運大安站(3號出口) 大安區 25.03328 121.5425 台北市
捷運臺電大樓站(2號出口)_1 大安區 25.02055 121.52855 台北市
信義路四段199巷 大安區 25.03459 121.55164 台北市
臺大資訊大樓 大安區 25.02101 121.54153 台北市
敦化南路二段81巷 大安區 25.03002 121.54893 台北市
原臺北刑務所官舍 大安區 25.03054 121.52466 台北市
捷運國父紀念館站(1號出口) 大安區 25.04205 121.55657 台北市
懷生國中 大安區 25.0401 121.54122 台北市
仁愛敦南圓環(西北側) 大安區 25.03827 121.54802 台北市
立人國小 大安區 25.02974 121.55146 台北市
和平東路二段18巷口 大安區 25.02268 121.53608 台北市
捷運大安站(5號出口) 大安區 25.03303 121.54372 台北市
臨江公園 大安區 25.02832 121.55592 台北市
羅斯福路四段113巷19弄口 大安區 25.01027 121.53998 台北市
忠孝東路四段248巷口 大安區 25.04132 121.55393 台北市
仁愛延吉路口(西北側) 大安區 25.03795 121.55466 台北市
樂利路101巷口 大安區 25.02528 121.55224 台北市
羅斯福浦城街口 大安區 25.02208 121.52678 台北市
敦化南路一段295巷口 大安區 25.03551 121.54951 台北市
通安區民活動中心 大安區 25.02942 121.55294 台北市
復興忠孝東路口(東南側) 大安區 25.04061 121.54389 台北市
仁愛大安路口(東北側) 大安區 25.03813 121.54631 台北市
臺灣師範大學(浦城街) 大安區 25.02476 121.52803 台北市
延平國宅 大同區 25.07894 121.51121 台北市
臺北市立圖書館大同分館 大同區 25.0741 121.51349 台北市
合昌宮 大同區 25.07717 121.50934 台北市
民族延平路口 大同區 25.06864 121.5107 台北市
重慶酒泉街口 大同區 25.07158 121.51368 台北市
樹德公園 大同區 25.06647 121.5165 台北市
陳天來故居 大同區 25.05601 121.50895 台北市
臺北孔廟 大同區 25.07378 121.51583 台北市
捷運圓山站(1號出口) 大同區 25.07133 121.52024 台北市
酒泉延平路口 大同區 25.0722 121.51057 台北市
重慶國中 大同區 25.07567 121.51862 台北市
重慶北路三段383巷口 大同區 25.07598 121.51409 台北市
台北數位產業園區 大同區 25.07447 121.52003 台北市
民權延平路口(西北側) 大同區 25.06326 121.51099 台北市
民權迪化街口 大同區 25.06327 121.50943 台北市
大稻埕公園 大同區 25.05915 121.51033 台北市
大龍老人住宅 大同區 25.06853 121.51729 台北市
大龍峒社會住宅 大同區 25.0708 121.51826 台北市
捷運大橋頭站(2號出口) 大同區 25.06314 121.51308 台北市
捷運大橋頭站(1A出口) 大同區 25.06325 121.51162 台北市
捷運民權西路站(2號出口) 大同區 25.06174 121.51969 台北市
捷運雙連站(2號出口) 大同區 25.05826 121.52063 台北市
捷運北門站(3號出口) 大同區 25.04991 121.5104 台北市
朝陽公園 大同區 25.05592 121.51367 台北市
永樂市場 大同區 25.05454 121.51052 台北市
大龍公園 大同區 25.07049 121.51596 台北市
重慶涼州街口 大同區 25.06054 121.51338 台北市
圓山線形公園 大同區 25.06867 121.51993 台北市
圓環站 大同區 25.05369 121.51418 台北市
重慶民族路口 大同區 25.06853 121.51359 台北市
承德路三段8巷口 大同區 25.06407 121.51822 台北市
太原廣場 大同區 25.04925 121.51468 台北市
國順公園 大同區 25.06594 121.51078 台北市
聯合醫院中興院區 大同區 25.05205 121.50818 台北市
蔣渭水紀念公園 大同區 25.06011 121.51729 台北市
迪化休閒運動公園 大同區 25.07491 121.5115 台北市
大同運動中心 大同區 25.06496 121.51608 台北市
重慶保安街口(家樂福重慶店) 大同區 25.05918 121.51373 台北市
大稻埕碼頭 大同區 25.05662 121.50783 台北市
歸綏戲曲公園 大同區 25.05805 121.51353 台北市
民權國中(民權西路) 大同區 25.06322 121.5144 台北市
承德民權路口 大同區 25.06247 121.51839 台北市
南京太原路口 大同區 25.05366 121.51638 台北市
承德民生西路口 大同區 25.05756 121.51828 台北市
太原五原路口 大同區 25.05646 121.51698 台北市
臺北轉運站(華陰街) 大同區 25.04937 121.51914 台北市
捷運民權西路站(3號出口) 大同區 25.06129 121.52021 台北市
捷運中山站(5號出口) 大同區 25.05296 121.51938 台北市
重慶長安路口 大同區 25.0515 121.51398 台北市
承德昌吉街口 大同區 25.06587 121.51847 台北市
大同16號廣場 大同區 25.05658 121.50826 台北市
捷運圓山站(2號出口) 大同區 25.07182 121.51929 台北市
樹德公園_1 大同區 25.06669 121.51615 台北市
承德鄭州路口(市民高架下) 大同區 25.04879 121.51626 台北市
成淵高中 大同區 25.06036 121.51996 台北市
雙蓮國小 大同區 25.06157 121.51683 台北市
寧夏涼州街口 大同區 25.06095 121.51428 台北市
